Employee_Id,Full_Name,Gender,Age,Gender,Education_Level,Hire_Date,Exit_Date,Department,Job_Role,Job_Level,Employment_Type,Base_Salary_Annual,Store_Location,Store_Location_Latitude,Store_Location_Longitude,Store_Id,Manager_Id,Manager_Name,Manager_Status
EMP000001,Marie Kim DDS,Female,23,,Master's,26/04/2021,13/04/2022,Store Operations,Cashier,Entry,Full-time,25745.4,Charlotte,35.2271,-80.8431,STR058,EMP001131,Michelle Walls,Executive
EMP000002,Danny Morgan,Male,26,,Master's,03/09/2021,,Store Operations,Sales Associate,Associate,Full-time,39408.57,San Jose,37.3382,-121.8863,STR137,EMP002456,Jennifer Moore,Executive
EMP000003,Crystal Robinson,Female,38,,Bachelor's,25/08/2016,,Store Operations,Cashier,Entry,Full-time,29319.94,Jacksonville,30.3322,-81.6557,STR008,EMP000529,Melissa Bishop,Senior Manager
EMP000004,Mark Perez,Male,33,,Bachelor's,10/12/2021,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43979.88,Las Vegas,36.1699,-115.1398,STR063,EMP001305,Tina Walter,Senior Manager
EMP000005,Shannon Jones,Female,24,,High School,24/02/2018,,Store Operations,Cashier,Entry,Full-time,23560.19,Chicago,41.8781,-87.6298,STR109,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000006,Michael Lewis,Male,36,,Bachelor's,03/03/2019,,Store Operations,Sales Associate,Associate,Part-time,17923.16,Detroit,42.3314,-83.0458,STR120,EMP002436,Miranda Murray,Senior Manager
EMP000007,Timothy Duncan,Male,45,,Bachelor's,15/11/2021,,Store Operations,Sales Associate,Associate,Full-time,28697,New York,40.7128,-74.006,STR048,EMP002585,Kara Rogers,Senior Manager
EMP000008,Richard Aguirre,Male,27,,High School,26/01/2019,04/04/2021,Store Operations,Cashier,Entry,Full-time,30661.76,Phoenix,33.4484,-112.074,STR144,EMP002684,David James,Senior Manager
EMP000009,Brent Jordan,Male,36,,Some College,26/01/2021,02/10/2024,Store Operations,Sales Associate,Associate,Full-time,35213.38,New York,40.7128,-74.006,STR034,EMP002712,Scott Meza,Senior Manager
EMP000010,John Daniel,Male,37,,Master's,25/06/2019,,Store Operations,Sales Associate,Associate,Full-time,36496.87,New York,40.7128,-74.006,STR140,EMP000053,Rebecca Valencia,Manager
EMP000011,Victoria Garcia,Female,37,,Bachelor's,30/03/2018,,Store Operations,Cashier,Entry,Full-time,22205.84,Chicago,41.8781,-87.6298,STR046,EMP000121,Jamie Walton,Manager
EMP000012,Gerald Hensley,Male,42,,Bachelor's,01/09/2019,,Store Operations,Cashier,Entry,Full-time,31699.1,Boston,42.3601,-71.0589,STR105,EMP000240,Briana Murray,Manager
EMP000013,Connor West,Male,36,,Some College,10/06/2018,,Store Operations,Cashier,Entry,Full-time,30324.43,San Antonio,29.4241,-98.4936,STR099,EMP000520,Michael Johnson,Manager
EMP000014,Donald Wright,Male,39,,Bachelor's,01/08/2017,,Store Operations,Cashier,Entry,Part-time,14474.03,Baltimore,39.2904,-76.6122,STR099,EMP000767,Tamara Riddle,Manager
EMP000015,Jessica Callahan,Female,37,,Bachelor's,03/12/2020,,Store Operations,Sales Associate,Associate,Part-time,18109.14,Nashville,36.1627,-86.7816,STR028,EMP001026,Brandon Kelly,Manager
EMP000016,Amber Kidd,Female,28,,Some College,24/10/2021,,Store Operations,Sales Associate,Associate,Full-time,30200.85,Fort Worth,32.7555,-97.3308,STR053,EMP001224,Raymond Quinn,Manager
EMP000017,Tracy House,Female,52,,High School,02/06/2014,,Store Operations,Sales Associate,Associate,Full-time,31650.91,Dallas,32.7767,-96.797,STR007,EMP001026,Brandon Kelly,Manager
EMP000018,Carol Tucker,Female,36,,Some College,28/04/2019,,Store Operations,Cashier,Entry,Full-time,27247.56,San Antonio,29.4241,-98.4936,STR109,EMP001447,Sonya Jackson,Manager
EMP000019,James Brown,Male,25,,High School,24/10/2021,,Store Operations,Cashier,Entry,Part-time,15791.67,Fort Worth,32.7555,-97.3308,STR019,EMP001680,Zachary Santiago,Manager
EMP000020,William Baker,Male,42,,Some College,24/02/2020,,Store Operations,Cashier,Entry,Full-time,24912.29,Louisville,38.2527,-85.7585,STR001,EMP002163,Mr. William Ward,Manager
EMP000021,Jordan Henderson,Male,36,,Bachelor's,13/06/2021,,Store Operations,Cashier,Entry,Seasonal,11247.41,Phoenix,33.4484,-112.074,STR149,EMP002493,Eric Williams,Manager
EMP000022,Whitney Peters,Female,29,,Some College,26/05/2019,,Store Operations,Sales Associate,Associate,Full-time,29673.93,Seattle,47.6062,-122.3321,STR001,EMP002827,Amanda Wright,Manager
EMP000023,Brittney Phillips,Female,29,,Some College,03/10/2021,02/12/2024,Store Operations,Cashier,Entry,Full-time,24921.45,Las Vegas,36.1699,-115.1398,STR060,EMP001131,Michelle Walls,Executive
EMP000024,Lauren Daniels,Female,26,,High School,14/04/2021,,Store Operations,Sales Associate,Associate,Part-time,19437.81,Nashville,36.1627,-86.7816,STR046,EMP002456,Jennifer Moore,Executive
EMP000025,Amy Silva,Female,26,,High School,03/02/2016,,Store Operations,Sales Associate,Associate,Full-time,33472.84,Denver,39.7392,-104.9903,STR118,EMP000529,Melissa Bishop,Senior Manager
EMP000026,Sarah Moore,Female,48,,Master's,21/12/2018,18/04/2019,Store Operations,Cashier,Entry,Part-time,17911.06,Detroit,42.3314,-83.0458,STR098,EMP001305,Tina Walter,Senior Manager
EMP000027,Angela Lopez,Female,34,,High School,17/10/2018,,Store Operations,Sales Associate,Associate,Full-time,30396.09,Houston,29.7604,-95.3698,STR110,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000028,Megan Young,Female,33,,Master's,25/07/2019,,Store Operations,Sales Associate,Associate,Full-time,34170.81,New York,40.7128,-74.006,STR118,EMP002436,Miranda Murray,Senior Manager
EMP000029,Steve Sanchez,Male,40,,High School,14/11/2020,,Store Operations,Cashier,Entry,Part-time,16754.49,Charlotte,35.2271,-80.8431,STR038,EMP002585,Kara Rogers,Senior Manager
EMP000030,Lisa Barnes,Female,37,,Bachelor's,12/11/2016,,Store Operations,Sales Associate,Associate,Full-time,28557.4,Phoenix,33.4484,-112.074,STR030,EMP002684,David James,Senior Manager
EMP000031,Kelly Donovan,Female,43,,Some College,18/10/2018,30/06/2019,Store Operations,Sales Associate,Associate,Contractor,38819.59,Louisville,38.2527,-85.7585,STR126,EMP002712,Scott Meza,Senior Manager
EMP000032,Mike Allen,Male,30,,Bachelor's,29/01/2020,,Store Operations,Sales Associate,Associate,Full-time,30046.29,Boston,42.3601,-71.0589,STR025,EMP000053,Rebecca Valencia,Manager
EMP000033,Michael Evans,Male,35,,Bachelor's,28/01/2021,,Store Operations,Cashier,Entry,Full-time,22650.52,Columbus,39.9612,-82.9988,STR012,EMP000121,Jamie Walton,Manager
EMP000034,Paul Jones,Male,26,,High School,25/02/2021,,Store Operations,Cashier,Entry,Full-time,31488.86,Denver,39.7392,-104.9903,STR094,EMP000240,Briana Murray,Manager
EMP000035,Zachary Ferrell,Male,35,,Bachelor's,22/07/2021,,Store Operations,Cashier,Entry,Full-time,31656.32,Chicago,41.8781,-87.6298,STR014,EMP000520,Michael Johnson,Manager
EMP000036,Daniel Baker,Male,38,,Some College,07/06/2020,,Store Operations,Cashier,Entry,Full-time,30083.97,San Jose,37.3382,-121.8863,STR015,EMP000767,Tamara Riddle,Manager
EMP000037,Shirley Suarez,Female,21,,Some College,31/01/2021,,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,23741.52,Charlotte,35.2271,-80.8431,STR111,EMP001224,Raymond Quinn,Manager
EMP000038,Christopher Bass,Male,33,,Master's,06/10/2020,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,36465.08,Fort Worth,32.7555,-97.3308,STR064,EMP001447,Sonya Jackson,Manager
EMP000039,Lisa Archer,Female,27,,Bachelor's,15/07/2020,,Store Operations,Sales Associate,Associate,Part-time,21726.48,San Diego,32.7157,-117.1611,STR137,EMP001680,Zachary Santiago,Manager
EMP000040,Aimee Montoya,Female,31,,High School,04/01/2012,10/10/2020,Store Operations,Cashier,Entry,Seasonal,10560.61,Louisville,38.2527,-85.7585,STR118,EMP002163,Mr. William Ward,Manager
EMP000041,Matthew Mcmillan,Male,24,,High School,03/01/2018,16/05/2022,Store Operations,Cashier,Entry,Full-time,23220.38,Philadelphia,39.9526,-75.1652,STR020,EMP002493,Eric Williams,Manager
EMP000042,Brian Rodriguez,Male,51,,High School,20/08/2021,,Store Operations,Sales Associate,Associate,Full-time,33942.12,Los Angeles,34.0522,-118.2437,STR010,EMP002827,Amanda Wright,Manager
EMP000043,Denise Jacobs,Female,28,,Some College,01/07/2019,,Store Operations,Cashier,Entry,Full-time,22343.89,Jacksonville,30.3322,-81.6557,STR094,EMP001131,Michelle Walls,Executive
EMP000044,Christina Walters,Female,42,,Bachelor's,01/02/2016,08/02/2023,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,48639.81,Austin,30.2672,-97.7431,STR040,EMP002456,Jennifer Moore,Executive
EMP000045,John Whitehead,Male,27,,Bachelor's,11/08/2021,,Store Operations,Sales Associate,Associate,Full-time,31105.36,San Diego,32.7157,-117.1611,STR089,EMP000529,Melissa Bishop,Senior Manager
EMP000046,Anna Henderson,Female,29,,High School,07/04/2019,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,44937.83,Columbus,39.9612,-82.9988,STR145,EMP001305,Tina Walter,Senior Manager
EMP000047,Aaron Wise,Male,33,,High School,07/10/2020,,Store Operations,Cashier,Entry,Full-time,25117.11,San Antonio,29.4241,-98.4936,STR015,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000048,Deborah Figueroa,Female,31,,Bachelor's,04/01/2012,,Store Operations,Sales Associate,Associate,Full-time,34240.82,San Jose,37.3382,-121.8863,STR086,EMP002436,Miranda Murray,Senior Manager
EMP000049,Jessica Smith,Female,41,,Some College,25/08/2021,,Store Operations,Cashier,Entry,Part-time,16480.26,Baltimore,39.2904,-76.6122,STR036,EMP002585,Kara Rogers,Senior Manager
EMP000050,Stephen Mckee,Male,32,,Bachelor's,07/10/2016,,Store Operations,Cashier,Entry,Full-time,23848.54,Jacksonville,30.3322,-81.6557,STR111,EMP002684,David James,Senior Manager
EMP000051,Sandra Aguilar,Female,36,,High School,25/04/2019,,Store Operations,Cashier,Entry,Full-time,31695.85,Las Vegas,36.1699,-115.1398,STR051,EMP002712,Scott Meza,Senior Manager
EMP000052,Cameron Parker,Male,32,,Bachelor's,19/09/2021,,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,27976.2,Nashville,36.1627,-86.7816,STR057,EMP000053,Rebecca Valencia,Manager
EMP000053,Rebecca Valencia,Female,26,,High School,09/02/2021,,Store Operations,Store Manager,Manager,Full-time,83184.97,San Antonio,29.4241,-98.4936,STR025,EMP002684,David James,Senior Manager
EMP000054,Christine Wright,Female,31,,Bachelor's,27/01/2019,,Store Operations,Sales Associate,Associate,Full-time,38737.93,Memphis,35.1495,-90.049,STR025,EMP000053,Rebecca Valencia,Manager
EMP000055,Richard Henson,Male,25,,Master's,17/06/2021,27/12/2024,Store Operations,Cashier,Entry,Full-time,27979,Denver,39.7392,-104.9903,STR148,EMP001305,Tina Walter,Senior Manager
EMP000056,Marc Moore,Male,38,,Bachelor's,11/03/2021,,Store Operations,Cashier,Entry,Part-time,18731.25,Seattle,47.6062,-122.3321,STR029,EMP000121,Jamie Walton,Manager
EMP000057,Sharon Cherry,Female,43,,High School,24/09/2020,,Store Operations,Cashier,Entry,Part-time,13730.96,San Jose,37.3382,-121.8863,STR008,EMP000240,Briana Murray,Manager
EMP000058,Sierra Johnson,Female,23,,Bachelor's,28/09/2019,05/02/2021,Store Operations,Cashier,Entry,Seasonal,9583.93,Memphis,35.1495,-90.049,STR135,EMP000520,Michael Johnson,Manager
EMP000059,Evelyn Galvan,Female,51,,High School,04/02/2021,,Store Operations,Sales Associate,Associate,Part-time,17125.64,Memphis,35.1495,-90.049,STR035,EMP000767,Tamara Riddle,Manager
EMP000060,Sharon Cochran,Female,39,,High School,21/10/2014,,Store Operations,Sales Associate,Associate,Full-time,31903.96,Portland,45.5152,-122.6784,STR007,EMP001026,Brandon Kelly,Manager
EMP000061,Richard Rodriguez,Male,34,,Bachelor's,21/10/2020,30/04/2024,Store Operations,Shift Supervisor,Supervisor,Full-time,48996.19,Phoenix,33.4484,-112.074,STR130,EMP001224,Raymond Quinn,Manager
EMP000062,Shannon Walker,Female,22,,Master's,30/03/2020,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39070.24,Memphis,35.1495,-90.049,STR108,EMP001447,Sonya Jackson,Manager
EMP000063,Julia Torres,Female,22,,Some College,20/07/2020,,Store Operations,Cashier,Entry,Full-time,30287.38,Columbus,39.9612,-82.9988,STR103,EMP001680,Zachary Santiago,Manager
EMP000064,Crystal Johnson,Female,31,,Bachelor's,15/05/2020,,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,24210.78,Philadelphia,39.9526,-75.1652,STR128,EMP002163,Mr. William Ward,Manager
EMP000065,Garrett Lin,Male,32,,Bachelor's,20/03/2019,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39214.02,Fort Worth,32.7555,-97.3308,STR134,EMP002493,Eric Williams,Manager
EMP000066,Diana May,Female,21,,Bachelor's,31/07/2021,,Store Operations,Cashier,Entry,Full-time,27426.96,Austin,30.2672,-97.7431,STR046,EMP002827,Amanda Wright,Manager
EMP000067,William Herrera,Male,32,,Master's,06/11/2021,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,37113.86,Detroit,42.3314,-83.0458,STR039,EMP001131,Michelle Walls,Executive
EMP000068,Ashley Waller,Female,35,,Some College,15/12/2015,,Store Operations,Cashier,Entry,Full-time,30021.97,Los Angeles,34.0522,-118.2437,STR081,EMP002456,Jennifer Moore,Executive
EMP000069,Victor Baker,Male,21,,High School,20/01/2021,23/04/2021,Store Operations,Sales Associate,Associate,Part-time,17336.76,Nashville,36.1627,-86.7816,STR039,EMP000529,Melissa Bishop,Senior Manager
EMP000070,Jeffrey Chandler,Male,29,,PhD,19/01/2020,,Store Operations,Sales Associate,Associate,Part-time,23905.59,Charlotte,35.2271,-80.8431,STR017,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000071,Larry Dixon,Male,43,,Master's,08/03/2019,15/09/2022,Store Operations,Sales Associate,Associate,Full-time,37266.94,Denver,39.7392,-104.9903,STR109,EMP002436,Miranda Murray,Senior Manager
EMP000072,Kenneth Scott,Male,37,,Master's,01/03/2020,,Store Operations,Sales Associate,Associate,Full-time,30384.59,Detroit,42.3314,-83.0458,STR115,EMP002585,Kara Rogers,Senior Manager
EMP000073,April Frost,Female,43,,Bachelor's,27/09/2019,,Store Operations,Cashier,Entry,Full-time,22055.22,Houston,29.7604,-95.3698,STR108,EMP002684,David James,Senior Manager
EMP000074,Michelle Harmon,Female,21,,Bachelor's,28/02/2021,,Store Operations,Cashier,Entry,Full-time,30154.61,Detroit,42.3314,-83.0458,STR055,EMP002712,Scott Meza,Senior Manager
EMP000075,Helen Jones,Female,36,,High School,04/11/2021,,Store Operations,Cashier,Entry,Full-time,29068.57,San Jose,37.3382,-121.8863,STR016,EMP002585,Kara Rogers,Senior Manager
EMP000076,Erin Edwards,Female,29,,High School,07/02/2021,,Store Operations,Cashier,Entry,Full-time,29290.07,Boston,42.3601,-71.0589,STR142,EMP000121,Jamie Walton,Manager
EMP000077,Michelle Evans,Female,31,,Bachelor's,09/12/2020,,Store Operations,Sales Associate,Associate,Seasonal,14902.1,Columbus,39.9612,-82.9988,STR124,EMP000240,Briana Murray,Manager
EMP000078,Jason Powell,Male,37,,Bachelor's,16/11/2016,31/08/2023,Store Operations,Sales Associate,Associate,Contractor,31777.39,Columbus,39.9612,-82.9988,STR148,EMP001305,Tina Walter,Senior Manager
EMP000079,Cameron Fisher,Male,26,,Some College,20/07/2021,,Store Operations,Cashier,Entry,Part-time,15350.79,San Jose,37.3382,-121.8863,STR009,EMP000520,Michael Johnson,Manager
EMP000080,Megan Orr,Female,27,,High School,10/07/2020,21/07/2024,Store Operations,Sales Associate,Associate,Part-time,17634.26,Phoenix,33.4484,-112.074,STR120,EMP000767,Tamara Riddle,Manager
EMP000081,Elizabeth Kelley,Female,28,,High School,13/09/2021,,Store Operations,Cashier,Entry,Part-time,18378.62,Los Angeles,34.0522,-118.2437,STR040,EMP001026,Brandon Kelly,Manager
EMP000082,Dustin Jordan,Male,36,,High School,24/12/2020,,Store Operations,Cashier,Entry,Full-time,28232.98,Fort Worth,32.7555,-97.3308,STR060,EMP001224,Raymond Quinn,Manager
EMP000083,Mary Marshall,Female,22,,Some College,15/01/2020,,Store Operations,Cashier,Entry,Part-time,15185.39,San Diego,32.7157,-117.1611,STR033,EMP001447,Sonya Jackson,Manager
EMP000084,Daniel Kennedy,Male,24,,Master's,18/08/2021,,Store Operations,Sales Associate,Associate,Full-time,28762.7,San Antonio,29.4241,-98.4936,STR100,EMP001680,Zachary Santiago,Manager
EMP000085,Rebecca Jackson,Female,34,,Master's,17/05/2017,,Store Operations,Cashier,Entry,Full-time,25109.82,Jacksonville,30.3322,-81.6557,STR082,EMP002163,Mr. William Ward,Manager
EMP000086,Jose Schultz,Male,35,,Bachelor's,06/04/2021,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39877.75,Nashville,36.1627,-86.7816,STR088,EMP002493,Eric Williams,Manager
